,Fecha,Ubicacion,Operador,Ruta,Tipo Avion,Num Registro,cn / ln,Total Muertes en Suelo,Año,Total Abordo,Pasajeros abordo,Tripulación Abordo,Total Muertes,Muertes Pasajeros,Muertes Tripulacion,Tasa Mortalidad,Ciudad
2404,1969-01-16,"Near Hue, Vietnam",Air America,Hue - da Nang,Douglas C-47 Skytrain (DC-3),949,20415,0,1969,12,9,3,12,9,3,1.0,Hue 
2405,1969-01-18,"Off Los Angeles, California",United Air Lines,Los Angeles - Denver - Milwaukee,Boeing B-727-22QC,N7434U,19891/631,0,1969,38,32,6,38,32,6,1.0,Los Angeles 
2406,1969-02-18,"Near Lone Pine, California",Mineral County Airlines,"Hawthorne, NV - Burbank - Long Beach",Douglas DC-3,N15570,6320,0,1969,35,32,3,35,32,3,1.0,"Hawthorne, NV "
2407,1969-02-24,"Tainan, Taiwan",Far Eastern Air Transport,Kaohsiung - Taipei,Handley Page Dart Herald 201,B-2009,157,0,1969,36,32,4,36,32,4,1.0,Kaohsiung 
2408,1969-03-05,"San Juan, Puerto Rico",Prinair,Saint Thomas - San Juan,de Havilland DH-114 Heron 2D,N563PR,14125,0,1969,19,17,2,19,17,2,1.0,Saint Thomas 
2409,1969-03-08,Atlantic Ocean,Continental Air Transport,"Halifax, NS - Santa Maria, Portugal",Douglas DC-4,N3821,10356,0,1969,3,0,3,3,0,3,1.0,"Halifax, NS "
2410,1969-03-13,"Minchumina, Alaska",Wien Consolidated Airlines,Fairbanks - Bethel - Minchumina,de Havilland DHC-6,N4901,3,0,1969,5,4,1,1,1,0,0.2,Fairbanks 
2411,1969-03-16,"Maracaibo, Zulia, Venezuela",Venezolana Internacional de Aviacion,Maracaibo - Miami,McDonnell Douglas DC-9-32,YV-C-AVD,47243/448,71,1969,84,74,10,84,74,10,1.0,Maracaibo 
2412,1969-03-20,"New Orleans, Louisiana",Avion Airways,Memphis - New Orleans,Douglas DC-3,N142D,1946,0,1969,27,24,3,16,13,3,0.5925925925925926,Memphis 
2413,1969-03-20,"Near Aswan, Egypt",United Arab Airlines,Jeddah - Aswan,Ilyushin IL-18D,SU-APC,188011301,0,1969,105,98,7,100,93,7,0.9523809523809523,Jeddah 
